Longitude,Latitude,evapproxy,premin,premax,salmin,salmax,minairtemp,maxairtemp,minsst,maxsst,minsoilmoist,maxsoilmoist,stddev_elevdepth,Min_czcs,Max_czcs,runoffnew,Wave_heigh,Tideformproxy,ClusterIds
numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
118.5,-20.5,9752.7,0.0,75.0,3497.0,3524.0,279.0,308.0,297958.0,301817.0,0.0,1.0,1780.56,1.28,3.33,25.0,1.0,6.0,3.0
119.5,-20.5,9021.66,0.0,75.0,3502.0,3536.0,277.0,310.0,298290.0,301960.0,0.0,2.0,2668.34,2.0,3.26,25.0,1.0,6.0,3.0
148.5,-20.5,8109.8,18.0,150.0,3497.0,3545.0,283.0,303.0,295925.0,301539.0,1.0,12.0,2835.64,0.28,0.65,0.0,3.0,6.0,3.0
149.5,-20.5,6997.81,38.0,75.0,3503.0,3547.0,283.0,302.5,295830.0,301473.0,0.76,0.0,1519.13,0.29,0.63,0.0,3.0,6.0,3.0
113.5,-21.5,10064.4,0.0,38.0,3506.0,3513.0,280.7,306.7,296720.0,300517.0,0.0,1.58,5386.75,0.11,0.22,25.0,2.0,6.0,3.0
114.5,-21.5,9495.06,0.0,42.11,3503.0,3512.0,280.1,307.3,296907.0,300937.0,0.0,1.53,3538.58,1.01,1.89,20.0,2.0,6.0,3.0
115.5,-21.5,9793.3,0.0,38.0,3500.0,3509.0,280.0,308.0,297400.0,301593.0,0.0,2.0,2257.18,2.25,4.97,25.0,1.0,6.0,3.0
116.5,-21.5,5756.09,0.0,75.0,3497.0,3511.0,277.0,310.0,297492.0,301601.0,0.0,2.0,3723.66,3.53,7.8,25.0,1.0,6.0,3.0
149.5,-21.5,7259.07,38.0,75.0,3503.0,3546.0,283.5,302.0,295087.0,301247.0,0.77,0.0,1911.22,0.46,0.86,0.0,3.0,6.0,3.0
113.5,-22.5,9887.49,0.6,34.0,3515.0,3523.0,281.4,305.6,296280.0,299937.0,0.0,1.83,4636.16,0.19,0.42,20.0,2.0,6.0,3.0
114.5,-22.5,9780.6,0.0,38.0,3508.0,3516.0,281.0,306.0,296654.0,300498.0,0.0,2.0,1782.49,3.49,5.5,25.0,2.0,6.0,3.0
149.5,-22.5,7010.4,38.0,75.0,3507.0,3548.0,283.0,302.0,295204.0,301241.0,1.0,11.0,3338.16,0.26,2.36,75.0,3.0,8.0,3.0
150.5,-22.5,8198.12,38.0,75.0,3514.0,3550.0,285.0,301.0,295178.0,301150.0,0.0,6.0,2148.78,0.53,1.0,75.0,3.0,8.0,3.0
113.5,-23.5,10287.3,2.0,24.67,3517.0,3526.0,282.0,304.3,295783.0,299187.0,0.0,1.59,3381.66,0.22,0.55,7.0,2.0,4.5,3.0
150.5,-23.5,7187.04,38.0,75.0,3522.0,3552.0,282.0,302.0,295076.0,300957.0,1.0,12.0,3161.28,0.18,1.43,75.0,3.0,8.0,3.0
151.5,-23.5,6725.16,38.0,75.0,3529.0,3556.0,282.2,301.0,295007.0,300923.0,0.9,0.0,828.834,0.26,0.58,0.0,3.0,8.0,3.0
113.5,-24.5,9993.02,3.0,18.0,3520.0,3530.0,283.0,302.0,295629.0,298930.0,0.0,1.0,1472.01,0.38,1.03,0.0,2.0,4.5,0.0
151.5,-24.5,6610.02,38.0,75.0,3516.0,3546.0,281.0,300.0,295241.0,300781.0,1.0,12.0,3684.82,0.22,0.48,150.0,3.0,6.0,0.0
152.5,-24.5,6858.4,56.5,75.0,3509.0,3539.0,281.0,300.2,295410.0,300840.0,1.45,0.0,2584.79,0.18,0.32,0.0,3.0,6.0,0.0
153.5,-24.5,7952.94,62.67,75.0,3512.0,3542.0,281.0,300.0,295510.0,300503.0,1.67,2.97,4742.39,0.15,0.22,38.0,3.0,6.0,0.0
112.5,-25.5,9353.08,3.0,18.0,3528.0,3542.0,280.6,305.9,294997.0,297913.0,0.0,2.02,4688.95,0.16,0.34,3.0,3.0,4.5,0.0
113.5,-25.5,8868.72,3.0,22.0,3527.0,3542.0,280.0,306.0,294988.0,297975.0,0.0,2.0,598.606,1.27,1.96,0.0,1.0,4.5,0.0
114.5,-25.5,8426.16,3.0,18.0,3525.0,3541.0,279.0,309.0,294980.0,298027.0,0.0,3.0,2518.97,4.18,6.39,25.0,1.0,4.5,0.0
152.5,-25.5,8029.92,75.0,75.0,3500.0,3535.0,281.0,300.0,295276.0,300411.0,2.0,13.0,2714.14,0.33,0.65,150.0,3.0,6.0,0.0
153.5,-25.5,7137.48,75.0,75.0,3495.0,3533.0,280.6,299.8,295230.0,300123.0,1.86,0.0,3044.81,0.21,0.3,0.0,3.0,6.0,0.0
113.5,-26.5,8698.77,3.0,31.33,3529.0,3551.0,280.0,307.0,294437.0,297311.0,0.0,3.0,2206.4,0.33,0.82,0.0,3.0,3.0,0.0
114.5,-26.5,7468.0,3.0,38.0,3529.0,3551.0,279.0,309.0,294397.0,297268.0,0.0,3.0,2879.5,-9999.0,4.57,25.0,1.0,3.0,0.0
153.5,-26.5,6088.29,75.0,133.33,3471.0,3517.0,279.9,299.1,294977.0,299833.0,1.86,0.0,3478.83,0.17,0.27,0.0,3.0,6.0,0.0
113.5,-27.5,7571.72,4.25,47.25,3530.0,3555.0,280.3,305.9,294157.0,297010.0,0.0,0.0,2768.62,0.2,0.56,0.0,3.0,3.0,0.0
114.5,-27.5,6959.96,3.0,38.0,3532.0,3556.0,281.0,305.0,293991.0,296854.0,0.0,2.0,3711.34,0.29,1.03,0.0,3.0,3.0,0.0
153.5,-27.5,5780.18,75.0,250.0,3482.0,3524.0,279.0,299.0,294874.0,299721.0,2.0,14.0,3136.38,0.15,0.28,0.0,3.0,6.0,0.0
114.5,-28.5,6274.5,8.0,75.0,3537.0,3559.0,281.0,301.0,293519.0,296380.0,0.0,1.0,3326.84,0.22,0.82,0.0,3.0,3.0,0.0
153.5,-28.5,5095.3,75.0,250.0,3510.0,3538.0,281.0,298.0,294183.0,298969.0,1.0,9.0,3558.64,0.13,0.32,600.0,3.0,4.5,0.0
114.5,-29.5,4980.0,5.86,69.71,3539.0,3560.0,281.0,301.3,293327.0,296230.0,0.0,0.0,2819.23,0.16,0.47,0.0,3.0,3.0,0.0
153.5,-29.5,4806.4,75.0,250.0,3514.0,3540.0,280.6,298.0,294103.0,298870.0,1.17,0.0,3276.18,0.26,0.4,0.0,3.0,4.5,0.0
114.5,-30.5,4986.42,3.71,96.43,3546.0,3563.0,281.0,300.4,293013.0,295720.0,0.0,2.12,4599.5,0.12,0.31,0.0,3.0,3.0,1.0
115.5,-30.5,4646.46,3.0,75.0,3549.0,3564.0,281.0,301.0,292882.0,295451.0,0.0,4.0,3657.21,0.25,0.86,0.0,3.0,3.0,1.0
153.5,-30.5,4614.72,75.0,183.33,3534.0,3551.0,279.7,297.3,293707.0,298503.0,1.0,5.31,4694.56,0.18,0.31,107.0,3.0,4.5,1.0
115.5,-31.5,6332.56,3.0,150.0,3554.0,3566.0,281.0,299.0,292643.0,295050.0,0.0,4.0,2811.73,0.16,0.61,0.0,3.0,3.0,1.0
128.5,-31.5,5021.36,8.0,38.0,3580.0,3613.0,277.0,301.0,289145.0,292298.0,0.0,2.0,3049.1,-9999.0,-9999.0,25.0,4.0,3.0,1.0
129.5,-31.5,5052.64,8.0,38.0,3580.0,3613.0,278.0,301.0,289117.0,292288.0,0.0,2.0,1913.06,0.25,0.65,25.0,4.0,3.0,1.0
130.5,-31.5,5233.92,8.0,38.0,3584.0,3613.0,278.0,301.0,289232.0,292330.0,0.0,2.0,712.04,0.25,0.86,25.0,4.0,3.0,1.0
131.5,-31.5,5330.4,8.0,18.0,3590.0,3613.0,278.0,302.0,289353.0,292338.0,0.0,2.0,2379.61,0.23,1.27,25.0,4.0,3.0,1.0
132.5,-31.5,4688.72,8.0,18.0,3590.0,3613.0,277.0,302.0,289350.0,292331.0,0.0,3.0,3029.04,-9999.0,-9999.0,25.0,4.0,3.0,1.0
